Departamento,Municipio,Demanda Real [MWh],Participación [%]
Bogotá. D.C.,Bogota D.C,2388721.1476900005,"10,76%"
Córdoba,Montelibano,1295777.9015699988,"5,84%"
Bolívar,Cartagena,1104565.2359899997,"4,98%"
Valle Del Cauca,Cali,978676.8795299993,"4,41%"
Antioquia,Medellín,909511.8569899995,"4,10%"
Atlántico,Barranquilla,895426.7963900001,"4,03%"
Valle Del Cauca,Yumbo,840018.35281,"3,78%"
Boyacá,Santa Maria,765234.21346,"3,45%"
Meta,Puerto Gaitan,688322.03047,"3,10%"
Santander,Barrancabermeja,560487.6134299999,"2,53%"
Meta,Villavicencio,468501.73584000004,"2,11%"
Arauca,Arauca,419170.4122199999,"1,89%"
Boyacá,Nobsa,417612.1784599999,"1,88%"
Cundinamarca,Tocancipa,408700.8176500001,"1,84%"
Valle Del Cauca,Palmira,400706.03824000026,"1,81%"
Caldas,Manizales,373248.94323999994,"1,68%"
La Guajira,Riohacha,295920.6422000001,"1,33%"
Boyacá,Puerto Boyaca,257337.91682999991,"1,16%"
Boyacá,Tuta,244100.71401000023,"1,10%"
Antioquia,Itagui,237161.4836300001,"1,07%"
Norte De Santander,Cucuta,226806.11098000014,"1,02%"
Antioquia,Rionegro,226740.83062000005,"1,02%"
Magdalena,Santa Marta,224872.29308,"1,01%"
Tolima,Ibague,224029.42908000003,"1,01%"
Santander,Bucaramanga,200741.08576999992,"0,90%"
Cundinamarca,Cajica,187843.20219000016,"0,85%"
Cundinamarca,Funza,181337.54556000003,"0,82%"
Risaralda,Pereira,167961.82739999998,"0,76%"
Cundinamarca,Madrid,167911.15056000004,"0,76%"
Boyacá,Sogamoso,167215.1693899999,"0,75%"
Antioquia,Bello,158820.53426,"0,72%"
Cundinamarca,Soacha,146907.14204,"0,66%"
Antioquia,Girardota,136172.87031000003,"0,61%"
Antioquia,Envigado,132315.77160999994,"0,60%"
Valle Del Cauca,Buga,131587.09035999994,"0,59%"
Cundinamarca,Cota,126312.94362000003,"0,57%"
Antioquia,Barbosa,121391.8171499999,"0,55%"
Cauca,Guachené,119348.7450400001,"0,54%"
Huila,Neiva,116369.44849999994,"0,52%"
Atlántico,Malambo,109415.12277999996,"0,49%"
Magdalena,Cienaga,105804.30634999998,"0,48%"
Cauca,Puerto Tejada,105767.98723000004,"0,48%"
Cundinamarca,Facatativa,104635.30355999997,"0,47%"
Cundinamarca,Cogua,101560.83705999996,"0,46%"
Cundinamarca,Mosquera,98671.83266999993,"0,44%"
Huila,Aipe,97644.74044999997,"0,44%"
Antioquia,Pto Nare,96539.01928,"0,43%"
Valle Del Cauca,Candelaria,94132.25578999992,"0,42%"
Caldas,Chinchina,91943.03592000008,"0,41%"
Córdoba,Monteria,91608.27133000006,"0,41%"
Atlántico,Soledad,85621.81036999998,"0,39%"
Cesar,Valledupar,82578.56482999997,"0,37%"
Atlántico,Galapa,81253.05206999999,"0,37%"
Santander,Giron,79697.61379999998,"0,36%"
Cundinamarca,Sibate,79265.35483000001,"0,36%"
Antioquia,Guarne,73985.46169999997,"0,33%"
Antioquia,La Estrella,73970.86179000004,"0,33%"
Risaralda,Dos Quebradas,70013.50866999998,"0,32%"
Santander,Floridablanca,69735.78214000001,"0,31%"
Cundinamarca,Sopo,67187.47562999993,"0,30%"
Valle Del Cauca,Tulua,66624.04776999996,"0,30%"
Antioquia,Sabaneta,64739.04833000002,"0,29%"
Valle Del Cauca,Buenaventura,64311.24487999999,"0,29%"
Cundinamarca,Gachancipa,61687.51272999998,"0,28%"
Cauca,Santander De Quilichao,61538.490259999984,"0,28%"
Antioquia,Puerto Berrio,57493.92230000004,"0,26%"
Casanare,Yopal,56067.99977000001,"0,25%"
Tolima,Carmen Deapicala,54709.390649999965,"0,25%"
Cundinamarca,La Calera,53746.47297,"0,24%"
Cesar,La Gloria,52630.034400000026,"0,24%"
Cauca,Popayan,51612.56177999994,"0,23%"
Sucre,Tolu,49828.01167000003,"0,22%"
Casanare,Tauramena,48828.434330000004,"0,22%"
Santander,Piedecuesta,45040.34745,"0,20%"
Cauca,Villa Rica,44869.12456999999,"0,20%"
Cundinamarca,Suesca,43714.923590000006,"0,20%"
Valle Del Cauca,Cartago,43582.91052999996,"0,20%"
Meta,Puerto Lopez,42226.86007000004,"0,19%"
Tolima,Espinal,42197.90999000002,"0,19%"
Cundinamarca,Puerto Salgar,40267.50277999998,"0,18%"
Sucre,Corozal,39172.55926999999,"0,18%"
Cauca,Caloto,39089.53223999997,"0,18%"
Quindío,Armenia,38241.12446999997,"0,17%"
Cundinamarca,Chia,38198.96495000002,"0,17%"
Cundinamarca,Tenjo,36893.11280000002,"0,17%"
Antioquia,Marinilla,36058.11902,"0,16%"
Valle Del Cauca,Bugalagrande,36001.62992000001,"0,16%"
Santander,Puerto Wilches,35952.502909999996,"0,16%"
Antioquia,Copacabana,35583.00637,"0,16%"
Antioquia,Caldas,34733.48769999998,"0,16%"
Nariño,Pasto,33858.91968,"0,15%"
Cesar,El Paso,33471.82605999999,"0,15%"
Sucre,Sincelejo,32482.761289999973,"0,15%"
Cundinamarca,Girardot,31719.373069999972,"0,14%"
Antioquia,Segovia,31459.945760000002,"0,14%"
Norte De Santander,Tibu,31192.32870999999,"0,14%"
Caldas,Marmato,29804.91392000001,"0,13%"
Valle Del Cauca,Ginebra,29164.64974000001,"0,13%"
Antioquia,Toledo,28364.49896,"0,13%"
Atlántico,Puerto Colombia,26707.701820000002,"0,12%"
Huila,Yaguara,26401.852419999996,"0,12%"
Cundinamarca,Zipaquira,25007.798610000005,"0,11%"
Antioquia,Yarumal,24668.75127,"0,11%"
Sucre,Covenas,24077.86116999999,"0,11%"
Antioquia,Amaga,23991.32384999998,"0,11%"
Antioquia,San Pedro,22936.571640000027,"0,10%"
Antioquia,Retiro,22925.923859999995,"0,10%"
Tolima,Melgar,22421.00423999998,"0,10%"
